99999999;5
1922;1
2038;2
2039;3
2067;1
2492;2
2495;3
2496;1
2497;2
2500;3
2502;1
2504;2
2506;3
2508;1
2516;2
2518;3
2521;1
2522;2
2523;3
2524;1
2525;2
2526;3
2527;1
2528;2
2529;3
2530;1
2532;2
2533;3
2534;1
2535;2
2536;3
2537;1
2538;2
2542;3
2543;1
2546;2
2550;3
2560;1
2561;2
2563;3
2564;1
2566;2
2568;3
2570;1
2574;2
2575;3
2579;1
2581;2
2582;3
2583;1
2586;2
2590;3
2593;1
2596;2
2597;3
2598;1
2599;2
2600;3
2601;1
2602;2
2603;3
2610;1
2618;2
2624;3
2629;1
2642;2
2652;3
2668;1
2673;2
2689;3
2690;1
2691;2
2692;3
2693;1
2695;2
2696;3
2697;1
2698;2
2699;3
2700;1
2701;2
2702;3
2703;1
2704;2
2705;3
2706;1
2707;2
2708;3
2709;1
2710;2
2711;3
2712;1
2713;2
2714;3
2715;1
2716;2
2718;3
2720;1
2721;2
2722;3
2723;1
2724;2
2725;3
2726;1
2727;2
2728;3
2729;1
2730;2
2731;3
2732;1
2733;2
2734;3
2735;1
2736;2
2737;3
2738;1
2739;2
2740;3
2741;1
2742;2
2743;3
2744;1
2745;2
2746;3
2747;1
2748;2
2749;3
2750;1
2751;2
2752;3
2753;1
2754;2
2755;3
2756;1
2757;2
2758;3
2759;1
2760;2
2761;3
2762;1
2763;2
2764;3
2765;1
2766;2
2767;3
2768;1
2769;2
2770;3
2771;1
2772;2
2773;3
2774;1
2775;2
2776;3
2777;1
2778;2
2779;3
2780;1
2781;2
2782;3
2783;1
2784;2
2785;3
2786;1
2792;2
2793;3
2794;1
2795;2
2796;3
2797;1
2798;2
2799;3
2800;1
2801;2
2802;3
2803;1
2804;2
2805;3
2806;1
2807;2
2808;3
2809;1
2810;2
2811;3
2812;1
2813;2
2814;3
2815;1
2816;2
2817;3
2819;1
2820;2
2821;3
2822;1
2823;2
2824;3
2825;1
2826;2
2827;3
2828;1
2829;2
2830;3
2831;1
2832;2
2833;3
2834;1
2835;2
2836;3
2837;1
2838;2
2839;3
2840;1
2841;2
2842;3
2847;1
2848;2
2849;3
2850;1
2851;2
2852;3
2853;1
2854;2
2855;3
2856;1
2857;2
2858;3
2859;1
2860;2
2861;3
2862;1
2863;2
2864;3
2865;1
2866;2
2867;3
2868;1
2869;2
2870;3
2871;1
2872;2
2873;3
2874;1
2875;2
2876;3
2877;1
2878;2
2879;3
2880;1
2881;2
2882;3
2883;1
2884;2
2885;3
2886;1
2887;2
2888;3
2889;1
2890;2
2891;3
2892;1
2893;2
2894;3
2895;1
2896;2
2897;3
2898;1
2899;2
2900;3
2901;1
2902;2
2903;3
2904;1
2906;2
2907;3
2908;1
2909;2
2910;3
2911;1
2912;2
2913;3
2914;1
2915;2
2916;3
2917;1
2918;2
2919;3
2920;1
2921;2
2922;3
2923;1
2926;2
2927;3
2928;1
2929;2
2930;3
2931;1
2932;2
2933;3
2934;1
2935;2
2936;3
2938;1
2939;2
2940;3
2941;1
2942;2
2943;3
2944;1
2945;2
2946;3
2947;1
2948;2
2949;3
2950;1
